model_id,name,model_type,domain_id,category_id,version,description,schema_version,enabled_entity_types,enabled_relation_types,retrieval_filter,validation_profile,status
model:corporate:司法公证,法人服务-司法公证知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:司法公证,v1,面向法人服务“司法公证”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:司法公证""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:商务贸易,法人服务-商务贸易知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:商务贸易,v1,面向法人服务“商务贸易”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:商务贸易""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:国土和规划建设,法人服务-国土和规划建设知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:国土和规划建设,v1,面向法人服务“国土和规划建设”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:国土和规划建设""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:土地房产,法人服务-土地房产知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:土地房产,v1,面向法人服务“土地房产”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:土地房产""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:地方特色分类,法人服务-地方特色分类知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:地方特色分类,v1,面向法人服务“地方特色分类”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:地方特色分类""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:城市综合执法,法人服务-城市综合执法知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:城市综合执法,v1,面向法人服务“城市综合执法”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:城市综合执法""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:安全生产,法人服务-安全生产知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:安全生产,v1,面向法人服务“安全生产”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:安全生产""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:安全防护,法人服务-安全防护知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:安全防护,v1,面向法人服务“安全防护”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:安全防护""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:对外交流,法人服务-对外交流知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:对外交流,v1,面向法人服务“对外交流”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:对外交流""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:年审年检,法人服务-年审年检知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:年审年检,v1,面向法人服务“年审年检”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:年审年检""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:应对气候变化,法人服务-应对气候变化知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:应对气候变化,v1,面向法人服务“应对气候变化”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:应对气候变化""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:建设管理,法人服务-建设管理知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:建设管理,v1,面向法人服务“建设管理”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:建设管理""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:投资审批,法人服务-投资审批知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:投资审批,v1,面向法人服务“投资审批”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:投资审批""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:抵押质押,法人服务-抵押质押知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:抵押质押,v1,面向法人服务“抵押质押”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:抵押质押""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:招标拍卖,法人服务-招标拍卖知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:招标拍卖,v1,面向法人服务“招标拍卖”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:招标拍卖""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:文体教育,法人服务-文体教育知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:文体教育,v1,面向法人服务“文体教育”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:文体教育""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:文物保护,法人服务-文物保护知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:文物保护,v1,面向法人服务“文物保护”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:文物保护""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:新闻广电,法人服务-新闻广电知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:新闻广电,v1,面向法人服务“新闻广电”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:新闻广电""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
